Date,AKER BP,DNB BANK,EQUINOR,GJENSIDIGE FORSIKR,HAFNIA LIMITED,HÖEGH AUTOLINERS,KONGSBERG GRUPPEN,MOWI,NEL,NORSK HYDRO,ORKLA,REACH SUBSEA,TELENOR,YARA INTERNATIONAL
2025-12-18,243.1,275.8,231.9,296.0,55.7,98.3,256.7,239.2,2.326,77.32,112.6,6.31,145.6,402.8
2025-12-19,245.4,280.7,232.1,296.6,54.32,94.75,258.25,242.6,2.328,77.68,112.7,6.16,142.9,410.8
2025-12-22,251.4,280.9,230.2,298.4,54.14,95.0,259.6,243.4,2.268,77.52,111.6,6.25,143.2,413.0
2025-12-23,250.3,282.4,232.0,298.8,53.52,95.5,260.7,240.2,2.28,77.88,112.0,6.36,143.8,416.9
2025-12-24,250.3,282.4,232.0,298.8,53.52,95.5,260.7,240.2,2.28,77.88,112.0,6.36,143.8,416.9
2025-12-29,252.8,280.3,235.2,297.8,54.0,97.15,258.85,242.8,2.236,77.28,112.6,6.61,146.2,412.0
2025-12-30,256.9,281.5,237.0,302.0,54.4,98.05,258.6,243.2,2.232,78.2,112.5,6.83,146.7,414.0
2025-12-31,256.9,281.5,237.0,302.0,54.4,98.05,258.6,243.2,2.232,78.2,112.5,6.83,146.7,414.0
2026-01-02,259.9,283.5,241.6,301.8,52.54,97.85,269.2,244.2,2.32,79.46,112.2,6.77,145.8,410.6
2026-01-05,255.6,280.5,237.7,298.0,53.08,97.4,277.95,240.0,2.264,81.58,109.0,6.7,144.5,414.0
2026-01-06,262.4,279.0,239.5,300.6,54.18,97.7,282.7,233.6,2.29,83.34,110.4,6.8,145.3,413.1
2026-01-07,253.1,277.0,232.2,291.8,56.0,101.7,285.1,232.8,2.304,81.58,109.5,6.79,144.3,400.5
2026-01-08,253.6,277.0,232.8,292.0,57.64,100.5,286.85,233.6,2.236,80.14,111.0,6.7,146.0,392.4
2026-01-09,262.5,276.2,239.7,282.8,58.06,100.8,299.25,231.2,2.234,81.68,111.0,6.75,144.0,396.2
2026-01-12,262.8,277.5,240.2,282.6,56.84,102.0,304.45,232.2,2.258,81.9,112.1,6.81,143.2,397.5
2026-01-13,274.4,277.9,246.4,281.6,59.98,103.8,299.2,230.4,2.29,82.72,111.5,6.8,142.0,406.7
2026-01-14,275.6,282.7,250.0,277.8,60.64,103.2,300.7,225.6,2.258,84.36,112.4,6.66,144.4,422.0
2026-01-15,270.3,282.6,247.4,281.2,58.58,98.4,303.6,232.8,2.26,84.9,113.1,6.76,143.2,423.8
2026-01-16,278.9,282.7,256.0,279.2,59.56,101.5,332.4,223.4,2.306,83.8,113.1,6.77,143.1,418.3
2026-01-19,275.4,278.2,247.5,278.6,58.38,98.6,329.55,218.6,2.252,83.28,113.1,6.68,146.3,412.5
2026-01-20,276.9,277.6,251.1,275.8,57.38,99.7,331.65,220.0,2.22,82.52,112.4,6.64,145.8,417.7
2026-01-21,279.7,279.2,253.3,276.4,57.48,99.95,330.8,214.6,2.236,85.1,111.2,6.7,146.4,421.2
2026-01-22,272.2,279.8,243.0,277.0,56.14,100.0,315.25,215.0,2.206,84.08,112.9,6.77,156.6,424.9
2026-01-23,279.5,278.0,249.7,265.4,56.88,100.4,320.5,211.2,2.3,85.96,111.6,6.85,154.9,440.0
2026-01-26,275.9,280.7,249.0,272.6,56.66,99.4,318.55,213.0,2.312,86.68,112.9,7.3,157.0,443.9
2026-01-27,274.0,282.9,250.7,275.4,57.0,102.5,323.6,215.0,2.246,86.22,112.6,7.41,156.5,436.6
2026-01-28,276.7,278.9,253.7,273.8,57.46,104.6,321.0,216.8,2.242,87.36,113.1,7.4,159.4,440.0
2026-01-29,283.2,275.6,257.4,273.2,58.18,104.9,322.55,221.0,2.18,88.72,113.7,7.4,161.4,445.7
2026-01-30,281.4,276.7,257.0,273.8,59.22,107.7,330.55,221.4,2.198,86.32,114.2,7.4,162.0,443.2
2026-02-02,276.4,280.9,252.7,277.4,58.9,108.2,329.7,220.6,2.19,86.04,114.8,7.32,162.8,444.3
2026-02-03,273.7,283.5,251.9,277.2,59.14,110.5,333.6,225.2,2.164,87.76,116.1,7.3,157.2,445.4
